Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector
2021-06-12,9051.06737525797,18159.16333818688,13680.62382837384,1020253,Cerdo
2021-06-13,2120.4992993846618,10876.548989115945,6663.595222553936,1020253,Cerdo
2021-06-14,6318.34900339118,15493.55428135965,10707.495409969042,1020253,Cerdo
2021-06-15,7879.35579284552,16990.899633687917,12744.56986558362,1020253,Cerdo
2021-06-16,9818.216040973006,18743.178525682106,14287.205309446521,1020253,Cerdo
2021-06-17,10830.777856495064,19683.012863384756,15291.635631570458,1020253,Cerdo
2021-06-18,12086.476380505132,21346.85620962906,16757.089856159626,1020253,Cerdo
2021-06-19,9463.686894857186,17980.87357528705,13808.83642477153,1020253,Cerdo
2021-06-12,1737.2313957572019,6686.623368141067,4183.21738962002,1020042,Cerdo
2021-06-13,-5174.470834703886,-265.95589234213315,-2913.7164247497153,1020042,Cerdo
2021-06-14,345.810679121565,5668.110260742028,2952.428935333452,1020042,Cerdo
2021-06-15,2628.7925442363844,7347.2705729739855,4961.772573799262,1020042,Cerdo
2021-06-16,2147.640569603349,6846.169960833406,4532.416414436455,1020042,Cerdo
2021-06-17,2539.9205345864807,7580.42393778081,5059.460655312116,1020042,Cerdo
2021-06-18,3805.870614232865,8799.774626379558,6214.482688621141,1020042,Cerdo
2021-06-19,1955.562819991068,6763.18139099882,4318.2219955714445,1020042,Cerdo
2021-06-12,11745.11703323909,23456.192693115736,17663.416260408114,1020027,Cerdo
2021-06-13,-3369.156404821648,9083.039014284135,2721.1960243117737,1020027,Cerdo
2021-06-14,6266.785156895286,18860.358977817803,12546.5064390101,1020027,Cerdo
2021-06-15,12701.935032098892,24750.50136971241,18785.507580780926,1020027,Cerdo
2021-06-16,13906.535462779148,25775.744601928,19793.264838475625,1020027,Cerdo
2021-06-17,14749.253050587888,26627.381371826817,20638.56525969179,1020027,Cerdo
2021-06-18,15493.540897353796,27798.178958602686,21600.642194461754,1020027,Cerdo
2021-06-19,11547.136386825785,23802.592870940276,17590.552656423017,1020027,Cerdo
2021-06-12,29305.741123401334,59886.79131490708,44665.247982283734,1020013,Cerdo
2021-06-13,-15574.955602247435,16036.861256457538,217.48642582815955,1020013,Cerdo
2021-06-14,14218.134632944795,44388.15316721414,29281.652118977963,1020013,Cerdo
2021-06-15,26964.63569327832,58379.07788354072,42853.84032192469,1020013,Cerdo
2021-06-16,34901.12773200046,64915.77581509796,50366.185783887486,1020013,Cerdo
2021-06-17,37688.09080900358,68339.90163782371,52880.77094209438,1020013,Cerdo
2021-06-18,45381.183043959376,76361.01170557008,60959.06484218605,1020013,Cerdo
2021-06-19,29141.69004114837,60669.38681370637,45082.23105407697,1020013,Cerdo
2021-06-12,19700.90318658741,35665.242927643805,27763.527813996036,1020010,Cerdo
2021-06-13,2244.280310936525,18387.564796275517,10440.591010720309,1020010,Cerdo
2021-06-14,16404.23065465598,32395.111311505607,24204.101234765625,1020010,Cerdo
2021-06-15,22794.648478820578,38868.75322595472,30995.971671512543,1020010,Cerdo
2021-06-16,23689.11391032449,41072.14059449023,32400.17731910129,1020010,Cerdo
2021-06-17,26062.028326450407,42448.276178300905,34409.82155501738,1020010,Cerdo
2021-06-18,27260.209824504203,43273.142195467924,35569.766241487494,1020010,Cerdo
2021-06-19,21942.352722877993,38496.746522641,30433.488453767382,1020010,Cerdo
2021-06-12,1510.2927669672235,11871.425855576543,6543.761478554862,1020003,Cerdo
2021-06-13,-6286.52429303066,3888.9032257934623,-1161.972623460555,1020003,Cerdo
2021-06-14,-2142.014324514764,7588.504282221258,2690.4711679796037,1020003,Cerdo
2021-06-15,130.8311741375479,10973.372618238085,5612.8852808547945,1020003,Cerdo
2021-06-16,1763.091768311122,12262.178107613194,7054.711572290484,1020003,Cerdo
2021-06-17,3078.2973801535322,13613.197190741057,8308.394492179268,1020003,Cerdo
2021-06-18,3881.6234008503134,14167.019178585635,8770.974872046587,1020003,Cerdo
2021-06-19,1960.9562745623884,12629.999725664056,7170.254790448156,1020003,Cerdo
2021-06-12,8806.380570335983,18868.709967071394,13803.69929744799,1020001,Cerdo
2021-06-13,-1796.0315949274886,8130.543752314313,3092.687152726062,1020001,Cerdo
2021-06-14,4594.972543121334,14217.271213349371,9289.136886015269,1020001,Cerdo
2021-06-15,7837.747118890417,17249.595645487992,12573.784032619511,1020001,Cerdo
2021-06-16,8558.974861854362,18074.980108922602,13216.352995953595,1020001,Cerdo
2021-06-17,9170.852825792896,19089.87024723335,14263.285223753035,1020001,Cerdo
2021-06-18,11415.85470975094,21278.160355005923,16329.907643766626,1020001,Cerdo
2021-06-19,8907.448335427642,19112.046974797468,13946.701644963116,1020001,Cerdo
2021-06-12,1087.3123644565505,19872.2440265413,10653.27812730372,1010695,Pollo
2021-06-13,-7552.653665677613,10681.96204460423,1197.90829447953,1010695,Pollo
2021-06-14,-2893.1279710454774,16473.75020591949,7102.164779432731,1010695,Pollo
2021-06-15,2167.557765436165,20773.157556882896,11533.49746662095,1010695,Pollo
2021-06-16,5148.745392788522,22819.578421802584,14102.904921929581,1010695,Pollo
2021-06-17,4257.007483980399,23444.49198915486,13723.665474369864,1010695,Pollo
2021-06-18,4872.3329563855405,22820.153053272763,13651.58936918881,1010695,Pollo
2021-06-19,302.0809534396785,19134.37770301715,10142.65391794411,1010695,Pollo
2021-06-12,12567.342872810146,43690.04042973208,27155.682399949575,1010267,Pollo
2021-06-13,-18010.60386178403,11380.461866653268,-3427.3953465398154,1010267,Pollo
2021-06-14,15435.304798174655,44967.37621142075,29785.90988622014,1010267,Pollo
2021-06-15,32694.451433406382,63280.743376163875,48114.78675672737,1010267,Pollo
2021-06-16,29771.246824005233,58945.40327692715,44218.09249299629,1010267,Pollo
2021-06-17,29575.50397466164,58485.46523612267,43863.04356384054,1010267,Pollo
2021-06-18,32253.986712059737,62161.7731712725,47729.456131487845,1010267,Pollo
2021-06-19,15284.386390295835,45249.82856753055,29608.112081813728,1010267,Pollo
2021-06-12,84028.77294849008,151896.75063964797,120192.00605725436,1010078,Pollo
2021-06-13,-12785.100972062934,54916.93790080443,19183.286070775648,1010078,Pollo
2021-06-14,57675.706676346104,124400.85288640633,91783.38693043009,1010078,Pollo
2021-06-15,93787.75636657377,160692.27811885186,128340.79813240534,1010078,Pollo
2021-06-16,105635.100300355,174485.43364755524,138148.93866352784,1010078,Pollo
2021-06-17,115337.43626352033,185772.35610478438,150629.5176187351,1010078,Pollo
2021-06-18,139473.13707606716,205001.7398630195,170798.21283065272,1010078,Pollo
2021-06-19,85422.84824218925,155168.6393348575,120841.58745844208,1010078,Pollo
2021-06-12,1997.2638755947185,8069.48622812031,5002.028713064306,1010077,Pollo
2021-06-13,-4300.9566435829465,1605.4233974675967,-1498.4650157790848,1010077,Pollo
2021-06-14,-88.55920946037155,5967.8344155288805,3112.2540151618755,1010077,Pollo
2021-06-15,1574.4307976611317,7535.35910902216,4760.528300907017,1010077,Pollo
2021-06-16,2849.910831668636,8877.49993925377,5692.020961949606,1010077,Pollo
2021-06-17,3478.377258638483,9572.773364658187,6634.341836721428,1010077,Pollo
2021-06-18,3850.2987766723436,10051.629374958016,7096.218960084718,1010077,Pollo
2021-06-19,2290.049982119399,8165.965148403591,5243.977865298663,1010077,Pollo
2021-06-12,5796.252950272585,46513.57385795265,25990.61791138786,1010048,Pollo
2021-06-13,-42995.39013043135,-2414.817804413043,-22610.559145931693,1010048,Pollo
2021-06-14,-7459.390872467086,34993.39370434037,14130.408542323217,1010048,Pollo
2021-06-15,8137.799214349845,49502.66738336194,29233.559581909125,1010048,Pollo
2021-06-16,15526.967443293757,54897.58163275973,35475.62102699716,1010048,Pollo
2021-06-17,18072.31370768502,60295.892776964,39491.969393848114,1010048,Pollo
2021-06-18,28679.323278978893,67456.68482459197,47307.51712788759,1010048,Pollo
2021-06-19,7533.089208596487,49032.15071625844,27920.792900477165,1010048,Pollo
2021-06-12,10952.60969485109,33976.30789659302,22944.331117563368,1010002,Pollo
2021-06-13,-20368.10290656744,1841.4968694508962,-9448.2550650271,1010002,Pollo
2021-06-14,-60.51131821201733,21951.482505296073,11542.826344191923,1010002,Pollo
2021-06-15,11605.74659373141,33339.41494405898,22432.327135910957,1010002,Pollo
2021-06-16,15055.986098476056,36084.89862507498,25974.639967689567,1010002,Pollo
2021-06-17,21048.243585680368,42821.71247872879,31839.52642903833,1010002,Pollo
2021-06-18,30127.683612706915,51213.341164604775,40351.78797349279,1010002,Pollo
2021-06-19,16456.50691055098,39531.36629619746,28217.176010622356,1010002,Pollo
