Semana;Diferencia promedio entre los precios(Ponderada Kg);Precio Promedio Ponderado CLP / KG;Ventas promedio Kg;Desv de Delta;Coeficientes;Tipo de Semana
1;-184.9580137247814;3860.9228876127972;406.3333333333333;621.9061983631814;0.0;1
2;-78.21333087660129;3218.2210184182013;615.3333333333334;478.1603804085883;-62.81536826830149;1
3;7.939118014223815;2340.5351022664454;1809.0;527.3138634969913;-777.1310233628135;0
4;-44.78711824680579;3610.1531456953644;805.3333333333334;346.32335943368025;-621.8819561033666;0
5;-18.036747929396352;3197.0203959208156;555.6666666666666;238.6254424823007;-609.057040419356;0
6;58.12986749439653;2911.099152542373;1573.3333333333333;260.9856989157025;-732.8797010673094;0
7;55.65414381641395;2942.736892969316;1379.6666666666667;390.76873105540517;-652.1224894073885;0
8;-102.19671110457753;2949.894578313253;1106.6666666666667;649.6620400704533;-562.4251629857756;0
9;-91.15157705248171;2749.5807860262007;1221.3333333333333;722.2812161387214;-663.082569235457;0
10;-2.8973090455826216;2681.2492069087066;1891.3333333333333;759.0287685427244;-927.9279631467106;0
11;21.872634213718996;3658.8347639484978;466.0;408.370434248283;-573.2317202812584;0
12;-8.738647952709739;2942.0527884206044;1566.0;522.9212046102192;-739.574797445073;0
13;-2.6715556237683353;2101.555124056095;1545.0;573.5313250505005;-725.4548244901599;0
14;159.2849243520655;2556.1444007858545;1018.0;571.8201543303155;-972.1271329870791;0
15;-117.04098658430594;2109.8886378308584;2065.3333333333335;554.747567392081;-1004.7078444685942;0
16;-83.83448278024541;2641.4371608421966;1535.6666666666667;585.2146293691683;-1149.2560319857503;0
17;-17.567733988391804;2857.4717624148;1369.3333333333333;547.8402438561102;-774.4974208867513;0
18;-39.62386847213762;2754.7811264822135;1012.0;434.9260411955211;-537.8058663427132;0
19;-20.79483205838934;3387.0614397065565;727.0;446.06483881642407;-204.77568448937888;1
20;2.8112557759081502;4194.333016175071;350.3333333333333;485.14562277701236;267.40026692419855;2
21;114.25854118589481;2996.3869209809263;734.0;533.07594386563;-107.75682304681946;1
22;397.08663795196105;2687.6417260490894;1263.0;611.6403771539732;-218.13416937533486;1
23;39.99982279536821;2756.2729184188393;1189.0;342.0116261346464;-134.3553392379983;1
24;89.6942121267127;2723.0088353413653;1245.0;339.54816897205313;-234.0958722113091;1
25;46.87420834148965;2542.4392523364486;1391.0;441.3954867746603;-249.6662551462496;1
26;-16.489964148522716;2912.8232286340394;684.5;329.1960687542845;-185.63180772730786;1
27;53.950566546864025;2720.5201984408222;705.5;329.46695176454716;-294.39786020756907;1
28;23.021304594911022;2783.9322675641565;1188.5;369.2405613827092;-259.8492825197262;1
29;66.53069208435183;3120.2201175702157;765.5;265.2788893269791;-10.387617403591943;1
30;53.586142461241984;3050.3490884537473;740.5;247.79746032933042;-101.80079402508827;1
31;194.05573161448976;3102.4976833976834;1295.0;298.3983529049848;-30.34261102790823;1
32;154.71521505456016;3141.3737089201877;1065.0;267.31094921978143;190.0580034470372;2
33;-102.79348354975917;2757.559241706161;738.5;447.26975115735496;449.5872681073444;2
34;301.5774556589483;4481.03431372549;102.0;357.1004129077154;869.1372643931315;3
35;-125.72774514650347;3108.9078341013824;651.0;667.403078122329;702.9829394314118;3
36;-83.13242558951144;3575.4051878354203;559.0;794.3353740722682;932.570219275331;3
37;188.32573449045103;4635.34682405846;889.5;649.7902227093138;1677.022913909726;4
38;239.8516417484229;3708.093023255814;215.0;1002.0369245460103;850.4910968196457;3
39;59.87918239259538;2920.9212271973465;603.0;873.8864327243392;429.66648528409814;2
40;-149.96426554961369;2902.6275038520803;1298.0;487.3087351316324;450.22575962094555;2
41;16.152871938711066;2891.9504168494955;1139.5;745.26026803124;231.05269456915826;2
42;-121.56704211763741;2908.7747378020977;1096.5;660.8810085047475;590.9916669981112;3
43;-58.68855744097531;3210.4191823899373;1590.0;490.7058332612145;591.4152672139397;3
44;62.02916146148358;4016.130008176615;611.5;406.9259217536792;733.7552003853376;3
45;94.48898446797264;4042.8206951026855;633.0;409.74758343936094;606.2993589593378;3
46;110.52211577972024;3208.437231130231;1278.5;459.4266706532603;463.46446195180897;2
47;105.73651446735344;2720.7015022860874;1531.0;446.64915869349636;255.5018645056212;2
48;-106.60673519878051;2533.8046686342905;1863.5;726.1599537165782;-64.92732444875439;1
49;53.23219393187184;3818.2315394242805;799.0;294.834236423744;633.1285024195683;3
50;-15.598160149274948;2507.380425284008;1716.5;572.5652136106573;80.338584310266;1
51;185.31846203328638;4715.510869565217;368.0;101.39303338276308;961.8934143966956;3
52;163.0821362568767;3364.0073170731707;410.0;382.7672502344555;539.7867721220741;3
53;-27.574566025916763;3737.6;500.0;953.5980668648544;593.5855944771888;3
